Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=20, random_state=0, class_weight='balanced')",0.9025213068181818,0.9138185315806349,0.9379959402103709,0.9159836726519546,0.8041000621410624,0.97637341529005,0.9755865934476082,0.9138185315806349
"RandomForestLearner(n_estimators=200, min_samples_split=20, random_state=0, class_weight='balanced')",0.9095348011363636,0.9158063481885219,0.939778929505114,0.917657857877936,0.8053224140017249,0.9721036151437518,0.9757145442279236,0.9158063481885219
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=5, min_samples_split=10)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=10)",0.8528053977272727,0.8532221865982687,0.8935398353564951,0.8574957158866059,0.6668691780974775,0.9383608479046596,0.892355482032939,0.8532221865982687
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=10)",0.8903586647727273,0.882077588970824,0.9160158925880257,0.8843820191421846,0.7220472631859532,0.9431957114643092,0.9270179982184463,0.882077588970824
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=5, min_samples_split=20)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=20)",0.8528053977272727,0.8532221865982687,0.8935398353564951,0.8574957158866059,0.6668691780974775,0.9383608479046596,0.892355482032939,0.8532221865982687
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=20)",0.8903586647727273,0.8818210965052902,0.915848591388521,0.8841179249358839,0.7213143620578238,0.9428410266052458,0.9269804247195167,0.8818210965052902
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=5, min_samples_split=50)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=50)",0.8528053977272727,0.8532221865982687,0.8935398353564951,0.8574957158866059,0.6668691780974775,0.9383608479046596,0.892355482032939,0.8532221865982687
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=50)",0.8893821022727273,0.8814363578069894,0.9155129083847384,0.8837911371752315,0.7208664847270249,0.943225684963751,0.9266306611558323,0.8814363578069894
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=10, min_samples_split=10)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=10)",0.8528053977272727,0.8532221865982687,0.8935398353564951,0.8574957158866059,0.6668691780974775,0.9383608479046596,0.892355482032939,0.8532221865982687
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=10)",0.8902698863636364,0.8817569733889067,0.9157990867579908,0.8840582055951268,0.7211901544081293,0.9428356525009403,0.926927415953433,0.8817569733889067
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=10, min_samples_split=20)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=20)",0.8528053977272727,0.8532221865982687,0.8935398353564951,0.8574957158866059,0.6668691780974775,0.9383608479046596,0.892355482032939,0.8532221865982687
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=20)",0.8902698863636364,0.8817569733889067,0.9157990867579908,0.8840582055951268,0.7211901544081293,0.9428356525009403,0.926927415953433,0.8817569733889067
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=10, min_samples_split=50)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=50)",0.8528053977272727,0.8532221865982687,0.8935398353564951,0.8574957158866059,0.6668691780974775,0.9383608479046596,0.892355482032939,0.8532221865982687
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=50)",0.8893821022727273,0.8814363578069894,0.9155129083847384,0.8837911371752315,0.7208664847270249,0.943225684963751,0.9266306611558323,0.8814363578069894
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=20, min_samples_split=10)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=10)",0.8528053977272727,0.8533504328310356,0.893622959207405,0.8576266096591528,0.6672453586749635,0.9385442110405472,0.892339267828,0.8533504328310356
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=10)",0.8893821022727273,0.8815646040397563,0.9155965818215053,0.8839231111493758,0.7212331802875926,0.943403333647236,0.9266365646843054,0.8815646040397563
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=20, min_samples_split=20)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=20)",0.8528053977272727,0.8533504328310356,0.893622959207405,0.8576266096591528,0.6672453586749635,0.9385442110405472,0.892339267828,0.8533504328310356
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=20)",0.8893821022727273,0.8815646040397563,0.9155965818215053,0.8839231111493758,0.7212331802875926,0.943403333647236,0.9266365646843054,0.8815646040397563
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=20, min_samples_split=50)",0.8607066761363636,0.8339211285668483,0.8821656050955414,0.8367917011116609,0.6036898834184203,0.904721911160881,0.8685892702878036,0.8339211285668483
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=50)",0.8528053977272727,0.8533504328310356,0.893622959207405,0.8576266096591528,0.6672453586749635,0.9385442110405472,0.892339267828,0.8533504328310356
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=50)",0.8893821022727273,0.8815646040397563,0.9155965818215053,0.8839231111493758,0.7212331802875926,0.943403333647236,0.926646977852585,0.8815646040397563
"GBClassifier(learning_rate=0.03, n_estimators=50, subsample=0.8, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9986683238636364,0.7483808913113177,0.8514873968662479,0.6641743618165825,0.2608113924495131,0.7421163741918458,0.8901617165033793,0.7483808913113177
"GBClassifier(learning_rate=0.03, n_estimators=50, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9986683238636364,0.7483808913113177,0.8514873968662479,0.6641743618165825,0.2608113924495131,0.7421163741918458,0.8907558820461893,0.7483808913113177
"GBClassifier(learning_rate=0.03, n_estimators=50, subsample=0.8, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9986683238636364,0.7483808913113177,0.8514873968662479,0.6641743618165825,0.2608113924495131,0.7421163741918458,0.8901617165033793,0.7483808913113177
