Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.7758888543654845,0.8099963130981197,0.85504995536424,0.8187391907160165,0.6139666663501676,0.9521993735530437,0.8957055715970893,0.8099963130981197
"RandomForestLearner(min_samples_split=5, random_state=0, class_weight='balanced')",0.9240090549957832,0.9086129233925909,0.9359215007474514,0.90948793912648,0.7775392607741239,0.9481451117032179,0.9670692761748735,0.9086129233925909
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=5)",0.9298681699143326,0.8851129314075951,0.9212097226344778,0.8842084560009988,0.7096740145930314,0.9127110336564644,0.808152135099625,0.8851129314075951
"GBClassifier(min_impurity_split=<?>, random_state=0, presort=<?>)",0.9207465932797727,0.8878059727810461,0.922209996332233,0.8879473740792331,0.721062376499815,0.9236780585550485,0.9562401508218011,0.8878059727810461
NNClassificationLearner(random_state=1),0.8927826357139687,0.8614366093326707,0.902983231946845,0.8626223910367536,0.6612757853974374,0.9134196185286103,0.9335398306892825,0.8614366093326707
"SVMLearner(coef0=1.0, probability=True)",0.8825291846065072,0.8424891396694613,0.8900353641613322,0.8435096178003233,0.6128890233840868,0.8976703237166463,0.918603026773829,0.8424891396694613
