Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.7742365056818182,0.8092978518756011,0.8543299373040752,0.8181253778107169,0.6137094556636723,0.9529064685314685,0.8960404419578201,0.8092978518756011
"RandomForestLearner(min_samples_split=5, random_state=0, class_weight='balanced')",0.9274680397727273,0.9124078230201987,0.9386343216531896,0.9131949116689829,0.786439332713652,0.9500727537286285,0.9709944579806521,0.9124078230201987
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=5)",0.9339488636363636,0.8907342096825905,0.9250791417516707,0.8898558642732936,0.723839093635582,0.9163763066202091,0.8195064326322129,0.8907342096825905
"GBClassifier(min_impurity_split=<?>, random_state=0, presort=<?>)",0.9265802556818182,0.8933632574543123,0.92621023206283,0.8933290932602204,0.7340234224140688,0.9258405038587776,0.9597881158036147,0.8933632574543123
NNClassificationLearner(random_state=1),0.8879616477272727,0.862263546008336,0.9030335861321777,0.863959666287885,0.6667497301603986,0.918626010286554,0.9349312886681116,0.862263546008336
"SVMLearner(coef0=1.0, probability=True)",0.8814808238636364,0.8428983648605323,0.8901739286354671,0.844069342571688,0.6147979364351659,0.8990402028250634,0.919405295760217,0.8428983648605323
