Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=20, random_state=0, class_weight='balanced')",0.8992409782946424,0.9103762242918744,0.9354589215833401,0.9126708185615178,0.7965316963491593,0.9747167360292526,0.9727992556267224,0.9103762242918744
"RandomForestLearner(n_estimators=200, min_samples_split=20, random_state=0, class_weight='balanced')",0.9057880953437791,0.9123960053219627,0.9372495435808522,0.9143915448901947,0.7980385227660398,0.9709751861632527,0.9732636101476263,0.9123960053219627
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=5, min_samples_split=10)",0.8183230502907364,0.8187486975618358,0.8670562368461276,0.824909535695411,0.5958622576070235,0.9219613432350662,0.8649564937851146,0.8187486975618358
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=10)",0.8605353100448311,0.8476508023019091,0.8908238753848274,0.8511583139932191,0.6442088988483076,0.9233223793875316,0.8866121504321158,0.8476508023019091
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=10)",0.9130676017577345,0.876472757001106,0.9143663599591056,0.8766122239393608,0.6928001293936374,0.9156688181615847,0.9221183080559884,0.876472757001106
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=5, min_samples_split=20)",0.8183230502907364,0.8187486975618358,0.8670562368461276,0.824909535695411,0.5958622576070235,0.9219613432350662,0.8649564937851146,0.8187486975618358
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=20)",0.8605353100448311,0.8476508023019091,0.8908238753848274,0.8511583139932191,0.6442088988483076,0.9233223793875316,0.8866121504321158,0.8476508023019091
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=20)",0.9130676017577345,0.8764567269929308,0.914356199091,0.8765951297578747,0.6927546770999483,0.9156484387171441,0.9221430950917391,0.8764567269929308
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=5, min_samples_split=50)",0.8183230502907364,0.8187486975618358,0.8670562368461276,0.824909535695411,0.5958622576070235,0.9219613432350662,0.8649564937851146,0.8187486975618358
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=50)",0.8605353100448311,0.8476508023019091,0.8908238753848274,0.8511583139932191,0.6442088988483076,0.9233223793875316,0.8866121504321158,0.8476508023019091
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=50)",0.9126015357983044,0.8761681868457752,0.9141332740510199,0.8763329156802339,0.6921716672860863,0.9156701627808582,0.9218944465164892,0.8761681868457752
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=10, min_samples_split=10)",0.8183230502907364,0.8187486975618358,0.8670562368461276,0.824909535695411,0.5958622576070235,0.9219613432350662,0.8649564937851146,0.8187486975618358
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=10)",0.8605353100448311,0.8476508023019091,0.8908238753848274,0.8511583139932191,0.6442088988483076,0.9233223793875316,0.8866041005221617,0.8476508023019091
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=10)",0.9129344400550402,0.8763765769520543,0.9142939699050922,0.8765226478655693,0.692594482450097,0.915657554981747,0.9220753382669135,0.8763765769520543
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=10, min_samples_split=20)",0.8183230502907364,0.8187486975618358,0.8670562368461276,0.824909535695411,0.5958622576070235,0.9219613432350662,0.8649564937851146,0.8187486975618358
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=20)",0.8605353100448311,0.8476508023019091,0.8908238753848274,0.8511583139932191,0.6442088988483076,0.9233223793875316,0.8866041005221617,0.8476508023019091
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=20)",0.9129344400550402,0.8763765769520543,0.9142939699050922,0.8765226478655693,0.692594482450097,0.915657554981747,0.9220753382669135,0.8763765769520543
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=10, min_samples_split=50)",0.8183230502907364,0.8187486975618358,0.8670562368461276,0.824909535695411,0.5958622576070235,0.9219613432350662,0.8649564937851146,0.8187486975618358
